"DisplayName","Publisher","DisplayVersion","InstallDate","UninstallString"
"Microsoft .NET Host FX Resolver - 5.0.12 (x64)","Microsoft Corporation","40.48.30622","20211111","MsiExec.exe /X{2A7F448F-0716-4DCF-93D1-7BEE91DAC0B6}"
"ROG Live Service","ASUSTek COMPUTER INC.","2.1.1.0","20230507","MsiExec.exe /I{2D87BFB6-C184-4A59-9BBE-3E20CE797631}"
"Oracle VM VirtualBox 7.0.8","Oracle and/or its affiliates","7.0.8","20230428","MsiExec.exe /I{2D9D28CD-84DE-4DC7-BAD2-CA5505324049}"
"Microsoft ASP.NET Core 3.1.32 Shared Framework (x64)","Microsoft Corporation","3.1.32.22566","20221216","MsiExec.exe /X{2E69E59E-17DF-3977-A405-49096F8B8432}"
"Microsoft Windows Desktop Runtime - 7.0.9 (x64)","Microsoft Corporation","56.39.63195","20230713","MsiExec.exe /X{2EC74499-9D3D-4613-8A01-A90AC9A8F4DF}"
"blender","Blender Foundation","2.93.5","20211112","MsiExec.exe /I{3033FBAD-BA86-469B-8C6F-ECD41334BD4D}"
"Java(TM) SE Development Kit 18.0.1.1 (64-bit)","Oracle Corporation","18.0.1.1","20220612","MsiExec.exe /X{31E89462-2587-5B56-8C7E-28A4D022A32B}"
"Microsoft .NET Core Targeting Pack - 3.1.0 (x64)","Microsoft Corporation","24.64.28315","20210102","MsiExec.exe /X{31EDE1E7-C855-4633-9D73-56F566136567}"
"Microsoft.NET.Sdk.tvOS.Manifest-6.0.300","Microsoft Corporation","123.35.40751","20220522","MsiExec.exe /X{333A0C47-C993-492A-9DD2-9248EFB37A99}"
"Microsoft .NET Targeting Pack - 5.0.0 (x64)","Microsoft Corporation","40.0.29419","20210102","MsiExec.exe /X{34761DB2-89B9-4981-8122-5B1FAE3B7069}"
"Microsoft .NET Toolset 6.0.315 (x64)","Microsoft Corporation","24.7.55398","20230713","MsiExec.exe /X{349D2F69-27A4-4E16-86F3-E49FC41DFA35}"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","Microsoft Corporation","11.0.61030","20210819","MsiExec.exe /X{37B8F9C7-03FB-3253-8781-2517C99D7C00}"
"Microsoft .NET AppHost Pack - 5.0.17 (x64_arm)","Microsoft Corporation","40.68.31213","20220513","MsiExec.exe /X{38CA215A-103C-4C37-A86E-57E49C2220AD}"
"Microsoft Windows Desktop Runtime - 5.0.17 (x64)","Microsoft Corporation","40.68.31219","20220513","MsiExec.exe /X{3C31CBA1-A0D9-4B95-A807-AD2313D12F47}"
"Windows Subsystem for Linux WSLg Preview","Microsoft Corporation","1.0.27","20221213","MsiExec.exe /X{3CBDE512-7510-4F90-B1C0-7C4EB9DD7C26}"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","Microsoft Corporation","56.35.63170","20230713","MsiExec.exe /X{3F6EB938-4020-4BED-A930-2F237ED475F5}"
